date;heat_demand;temp_feed_flow;temp_back_flow;T_foerde_scaled;T_hs_ff;T_cons_ff;T_cons_bf;solar_heat_flow;el_spot_price;co2_price;ef_om;ef_dm;hp_c_1;hp_c_0;hp_Q_max;hp_Q_min;biogas_price;ice_H_max;ice_H_min;ice_eta_el;ice_eta_th
2019-09-11 10:00:00;18.74;81.73;38.9;14.67;14;81;40;0.0004099121036566;33.94;25.75;0.280499604;0.657425972;3.3026972647697357;-0.12990141317532594;0.9736176157625845;0.28116082978531903;84.07;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2019-09-11 11:00:00;19.25;83.27;39.25;14.67;14;83;40;0.0003786645290022;30.55;25.75;0.255341059;0.650126491;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-11 12:00:00;19.02;83.38;39.31;14.67;14;83;40;0.0002349041938327;28.79;25.75;0.243692562;0.639454019;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-11 13:00:00;19.99;83.19;39.53;14.67;14;83;40;2.9329679550365977e-05;28.68;25.75;0.248201175;0.635088702;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-11 14:00:00;20.93;83.35;39.73;14.67;14;83;40;0.0;30.02;25.75;0.262470761;0.639664946;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-11 15:00:00;19.22;82.71;39.76;14.67;14;82;40;0.0;29.33;25.75;0.286541419;0.638557976;3.2632464478647374;-0.12927982557014345;0.9735999549557928;0.2816518525315302;84.07;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2019-09-11 16:00:00;22.54;81.28;39.4;14.67;14;81;40;0.0;33.06;25.75;0.326597179;0.659183937;3.3026972647697357;-0.12990141317532594;0.9736176157625845;0.28116082978531903;84.07;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2019-09-11 17:00:00;23.4;81.22;39.22;14.67;14;81;40;0.0;37.34;25.75;0.375953535;0.675503314;3.3026972647697357;-0.12990141317532594;0.9736176157625845;0.28116082978531903;84.07;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2019-09-11 18:00:00;23.01;81.15;39.19;14.67;14;81;40;0.0;39.67;25.75;0.38832065;0.673360794;3.3026972647697357;-0.12990141317532594;0.9736176157625845;0.28116082978531903;84.07;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2019-09-11 19:00:00;21.47;80.87;38.98;14.67;14;80;40;0.0;41.1;25.75;0.386681126;0.671976339;3.3419133622384423;-0.13031594092185156;0.9736077238145995;0.28070367875022545;84.07;2.6909435726880875;1.5656651556114982;0.435053025194775;0.3523585378594898
2019-09-11 20:00:00;20.67;81.58;39.13;14.67;14;81;40;0.0;38.37;25.75;0.381622653;0.677475208;3.3026972647697357;-0.12990141317532594;0.9736176157625845;0.28116082978531903;84.07;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2019-09-11 21:00:00;20.01;82.48;39.58;14.67;14;82;40;0.0;33.04;25.75;0.376658049;0.672980995;3.2632464478647374;-0.12927982557014345;0.9735999549557928;0.2816518525315302;84.07;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2019-09-11 22:00:00;19.58;83.16;39.27;14.67;14;83;40;0.0;30.1;25.75;0.35908976;0.64998426;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-11 23:00:00;19.75;83.14;39.52;14.67;14;83;40;0.0;27.88;25.75;0.354556738;0.637230321;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-12 00:00:00;19.83;83.21;39.46;14.65;14;83;40;0.0;27.21;25.75;0.35141836;0.620643076;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-12 01:00:00;20.28;83.08;39.72;14.65;14;83;40;0.0;27.53;25.75;0.363790112;0.623061926;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-12 02:00:00;20.05;83.16;39.68;14.65;14;83;40;0.0;26.89;25.75;0.37517922;0.61837246;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
